date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:21:29	136/136	---M-Z	200	added ('OK')	text/plain	etag:%22135-1719278644;gz%22	https://www.wakafselangor.gov.my/robots.txt		(from )
12:21:30	132973/132973	---MCZ	200	added ('OK')	text/html	etag:%22221-1719309420;gz%22	https://www.wakafselangor.gov.my/prosedur/	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/prosedur/index.html	(from )
12:21:30	4508/4508	---M--	200	added ('OK')	image/png	etag:%22119c-64fe8848-bab46e4313e13ee6;;;%22	https://www.wakafselangor.gov.my/wp-content/uploads/2023/09/logoPWSlogo.png	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/uploads/2023/09/logoPWSlogo.png	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:31	20307/20307	---M-Z	200	added ('OK')	text/css	etag:%224f53-65d413bb-54d6c6b61504ac3f;gz%22	https://www.wakafselangor.gov.my/wp-content/plugins/photo-gallery/booster/assets/css/global.css?ver=1.0.0	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/plugins/photo-gallery/booster/assets/css/global8a54.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:32	94960/94960	---M-Z	200	added ('OK')	text/css	etag:%22172f0-65030d83-7243270efb41f686;gz%22	https://www.wakafselangor.gov.my/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit.css?ver=3.15.1	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit5829.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:32	41067/41067	---M-Z	200	added ('OK')	text/css	etag:%22a06b-65030d83-66982db2c193ac66;gz%22	https://www.wakafselangor.gov.my/wp-content/plugins/bdthemes-element-pack/assets/css/ep-helper.css?ver=7.3.1	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/plugins/bdthemes-element-pack/assets/css/ep-helperd5a8.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:32	110147/110147	---M-Z	200	added ('OK')	text/css	etag:%221ae43-65b9973c-82b14a00e8f761ad;gz%22	https://www.wakafselangor.gov.my/wp-includes/css/dist/block-library/style.min.css?ver=6.4.5	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-includes/css/dist/block-library/style.min75e4.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:32	2859/2859	---M-Z	200	added ('OK')	text/css	etag:%22b2b-65007bc7-df1665a1aae25781;gz%22	https://www.wakafselangor.gov.my/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/plugins/contact-form-7/includes/css/styles41a3.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:33	4028/4028	---M-Z	200	added ('OK')	text/css	etag:%22fbc-65d413bd-9599c0b34dbabcb7;gz%22	https://www.wakafselangor.gov.my/wp-content/plugins/photo-gallery/css/bwg-fonts/fonts.css?ver=0.0.1	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/plugins/photo-gallery/css/bwg-fonts/fonts622c.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:33	7610/7610	---M-Z	200	added ('OK')	text/css	etag:%221dba-65d413bd-ad17139d38ca67b8;gz%22	https://www.wakafselangor.gov.my/wp-content/plugins/photo-gallery/css/sumoselect.min.css?ver=3.4.6	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/plugins/photo-gallery/css/sumoselect.min9bf7.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:33	42800/42800	---M-Z	200	added ('OK')	text/css	etag:%22a730-65d413bd-f445c32c39df65d1;gz%22	https://www.wakafselangor.gov.my/wp-content/plugins/photo-gallery/css/jquery.mCustomScrollbar.min.css?ver=3.1.5	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/plugins/photo-gallery/css/jquery.mCustomScrollbar.minc6bd.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:33	45548/45548	---M-Z	200	added ('OK')	text/css	etag:%22b1ec-65d413bd-1b552ea6e0ac1d8f;gz%22	https://www.wakafselangor.gov.my/wp-content/plugins/photo-gallery/css/styles.min.css?ver=1.8.21	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/plugins/photo-gallery/css/styles.min0445.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:33	44809/44809	---M-Z	200	added ('OK')	text/css	etag:%22af09-655c4af0-3221d8466a14354e;gz%22	https://www.wakafselangor.gov.my/wp-content/plugins/qi-addons-for-elementor/assets/css/grid.min.css?ver=6.4.5	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/plugins/qi-addons-for-elementor/assets/css/grid.min75e4.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:34	30394/30394	---M-Z	200	added ('OK')	text/css	etag:%2276ba-655c4af0-954cab6a6e969fc2;gz%22	https://www.wakafselangor.gov.my/wp-content/plugins/qi-addons-for-elementor/assets/css/helper-parts.min.css?ver=6.4.5	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/plugins/qi-addons-for-elementor/assets/css/helper-parts.min75e4.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:35	280175/280175	---M-Z	200	added ('OK')	text/css	etag:%224466f-655c4af0-4e1cce248ac78f4;gz%22	https://www.wakafselangor.gov.my/wp-content/plugins/qi-addons-for-elementor/assets/css/main.min.css?ver=6.4.5	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/plugins/qi-addons-for-elementor/assets/css/main.min75e4.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:35	11256/11256	---M-Z	200	added ('OK')	text/css	etag:%222bf8-5f73a5ba-904ce54bb0ce8d8d;gz%22	https://www.wakafselangor.gov.my/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:36	4186/4186	---M-Z	200	added ('OK')	text/css	etag:%22105a-5cfb1a26-f979e3de7400731e;gz%22	https://www.wakafselangor.gov.my/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.4.5	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-includes/js/mediaelement/wp-mediaelement.min75e4.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:36	661/661	---M-Z	200	added ('OK')	text/css	etag:%22295-65006543-3d3038c662b2ecaf;gz%22	https://www.wakafselangor.gov.my/wp-content/themes/bridge/style.css?ver=6.4.5	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/themes/bridge/style75e4.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:36	31051/31051	---M-Z	200	added ('OK')	text/css	etag:%22794b-65006537-bd6a7a7e09d21b34;gz%22	https://www.wakafselangor.gov.my/wp-content/themes/bridge/css/font-awesome/css/font-awesome.min.css?ver=6.4.5	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/themes/bridge/css/font-awesome/css/font-awesome.min75e4.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:36	21769/21769	---M-Z	200	added ('OK')	text/css	etag:%225509-65006535-dbca3b25a763a10f;gz%22	https://www.wakafselangor.gov.my/wp-content/themes/bridge/css/elegant-icons/style.min.css?ver=6.4.5	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/themes/bridge/css/elegant-icons/style.min75e4.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:37	78080/78080	---M-Z	200	added ('OK')	text/css	etag:%2213100-65006534-5745221fec63ac21;gz%22	https://www.wakafselangor.gov.my/wp-content/themes/bridge/css/linea-icons/style.css?ver=6.4.5	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/themes/bridge/css/linea-icons/style75e4.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:37	11546/11546	---M-Z	200	added ('OK')	text/css	etag:%222d1a-65006537-d7fddeca2d2518a1;gz%22	https://www.wakafselangor.gov.my/wp-content/themes/bridge/css/dripicons/dripicons.css?ver=6.4.5	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/themes/bridge/css/dripicons/dripicons75e4.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:38	19699/19699	---M-Z	200	added ('OK')	text/css	etag:%224cf3-65006535-f3be10c96b5cc51c;gz%22	https://www.wakafselangor.gov.my/wp-content/themes/bridge/css/kiko/kiko-all.css?ver=6.4.5	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/themes/bridge/css/kiko/kiko-all75e4.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:38	108928/108928	---M-Z	200	added ('OK')	text/css	etag:%221a980-65006533-b2acc2732ddb11dd;gz%22	https://www.wakafselangor.gov.my/wp-content/themes/bridge/css/font-awesome-5/css/font-awesome-5.min.css?ver=6.4.5	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/themes/bridge/css/font-awesome-5/css/font-awesome-5.min75e4.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:38	812265/812265	---M-Z	200	added ('OK')	text/css	etag:%22c64e9-65006536-70586a206713559f;gz%22	https://www.wakafselangor.gov.my/wp-content/themes/bridge/css/stylesheet.min.css?ver=6.4.5	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/themes/bridge/css/stylesheet.min75e4.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:38	611/611	---M-Z	200	added ('OK')	text/css	etag:%22263-65006537-287cac48c433a8a8;gz%22	https://www.wakafselangor.gov.my/wp-content/themes/bridge/css/print.css?ver=6.4.5	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/themes/bridge/css/print75e4.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:39	43074/43074	---M-Z	200	added ('OK')	text/css	etag:%22a842-655d790a-a6cdd5c0b0090c43;gz%22	https://www.wakafselangor.gov.my/wp-content/themes/bridge/css/style_dynamic.css?ver=1700624650	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/themes/bridge/css/style_dynamic430e.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:39	146800/146800	---M-Z	200	added ('OK')	text/css	etag:%2223d70-65006537-666d8145d4c6de00;gz%22	https://www.wakafselangor.gov.my/wp-content/themes/bridge/css/responsive.min.css?ver=6.4.5	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/themes/bridge/css/responsive.min75e4.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:39	1271/1271	---M-Z	200	added ('OK')	text/css	etag:%224f7-655d790a-2343166b56e231b8;gz%22	https://www.wakafselangor.gov.my/wp-content/themes/bridge/css/style_dynamic_responsive.css?ver=1700624650	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/themes/bridge/css/style_dynamic_responsive430e.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:40	23141/23141	---M-Z	200	added ('OK')	text/css	etag:%225a65-65006618-ec2796f213e340ad;gz%22	https://www.wakafselangor.gov.my/wp-content/plugins/bridge-core/modules/core-dashboard/assets/css/core-dashboard.min.css?ver=6.4.5	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/plugins/bridge-core/modules/core-dashboard/assets/css/core-dashboard.min75e4.css	(from https://www.wakafselangor.gov.my/prosedur/)
12:21:40	413/413	---M-Z	200	added ('OK')	text/css	etag:%2219d-655c4ad7-9de5b50b91941eb9;gz%22	https://www.wakafselangor.gov.my/wp-content/plugins/elementor/assets/css/modules/lazyload/frontend.min.css?ver=3.17.3	C:/PWS/WAQF%20PARTICIPATION%20PROCEDURE/www.wakafselangor.gov.my/wp-content/plugins/elementor/assets/css/modules/lazyload/frontend.min8864.css	(from https://www.wakafselangor.gov.my/prosedur/)
